district,NRLM NPA Amt. %,NRLM NPA Amt.,No. NRLM NPA,Amt. regular NRLM Ir- A/C,NRLM No. Irregular A/C,NRLM Amt. O/S,NRLM O/S No.,Self-Help Current Amount Year Group,Group Current No. Self-Help Year
East Garo Hills,20.13,194.84,360,31.56,37,967.8,941,439.37,293
East Jaintia Hills,0.01,0.16,1,0.16,1,1785.25,1092,384.5,213
East Khasi Hills,3.17,124.83,180,51.14,21,3937.84,2925,999.1,555
Eastern West Khasi Hills,2.09,42.51,47,36.64,21,2035.47,1041,515.98,194
North Garo Hills,17.21,154.48,303,23.33,37,897.47,925,388.04,290
Ri Bhoi,2.37,55.43,74,45.4,60,2343.27,1815,408.72,223
South Garo Hills,24.19,160.19,253,28.92,39,662.18,745,112.03,171
South West Garo Hills,2.29,27.77,42,13.91,15,1211.28,1214,460.01,196
South West Khasi Hills,0.28,3,6,9.7,8,1067.59,747,194.73,152
West Garo Hills,10.53,296.18,437,165.83,171,2813.11,2277,908.08,491
West Jaintia Hills,2.33,60.38,39,10.97,9,2591.61,1628,624.01,268
West Khasi Hills,0.19,3.75,9,4.88,8,1971.95,1009,531.42,198
