period,district,cluster_adopted_by_banks,inactive_ineligible,no_of_clusters,no_of_employed,no_of_unit,no_such_cluster,number_of_clusters,pending
March 2022,Cooch Behar,16.0,0.0,,,,0.0,16.0,0.0
March 2022,Dakshin Dinajpur,6.0,0.0,,,,0.0,6.0,0.0
March 2022,Darjeeling,10.0,3.0,,,,1.0,14.0,0.0
March 2022,Hooghly,17.0,9.0,,,,0.0,26.0,0.0
March 2022,Howrah,37.0,0.0,,,,0.0,37.0,0.0
March 2022,Jalpaiguri,0.0,4.0,,,,0.0,4.0,0.0
March 2022,Jhargram,5.0,1.0,,,,0.0,6.0,0.0
March 2022,Kalimpong,4.0,8.0,,,,0.0,12.0,0.0
March 2022,Kolkata,7.0,0.0,,,,0.0,7.0,0.0
March 2022,Malda,15.0,8.0,,,,0.0,23.0,0.0
March 2022,Murshidabad,6.0,32.0,,,,0.0,38.0,0.0
March 2022,Nadia,62.0,21.0,,,,0.0,83.0,0.0
March 2022,North 24 Parganas,15.0,12.0,,,,0.0,27.0,0.0
March 2022,Paschim Bardhaman,3.0,4.0,,,,0.0,7.0,0.0
March 2022,Paschim Medinipur,11.0,12.0,,,,1.0,24.0,0.0
March 2022,Purba Bardhaman,38.0,38.0,,,,0.0,76.0,0.0
March 2022,Purba Medinipur,9.0,25.0,,,,0.0,34.0,0.0
March 2022,Purulia,7.0,13.0,,,,0.0,20.0,0.0
March 2022,South 24 Parganas,16.0,3.0,,,,0.0,19.0,0.0
March 2022,Uttar Dinajpur,18.0,0.0,,,,0.0,18.0,0.0
September 2018,Alipurduar,,,3.0,3471.0,395.0,,,
September 2018,Bankura,,,16.0,9256.0,2158.0,,,
September 2018,Birbhum,,,13.0,3940.0,892.0,,,
September 2018,Cooch Behar,,,8.0,1468.0,515.0,,,
September 2018,Dakshin Dinajpur,,,2.0,1010.0,250.0,,,
September 2018,Darjeeling,,,14.0,8459.0,965.0,,,
September 2018,Hooghly,,,14.0,21780.0,2094.0,,,
September 2018,Howrah,,,27.0,146100.0,10869.0,,,
September 2018,Jalpaiguri,,,3.0,2170.0,210.0,,,
September 2018,Jhargram,,,3.0,280.0,95.0,,,
September 2018,Kalimpong,,,7.0,7835.0,224.0,,,
September 2018,Kolkata,,,6.0,17554.0,1590.0,,,
September 2018,Malda,,,18.0,11741.0,1838.0,,,
September 2018,Murshidabad,,,21.0,15661.0,4405.0,,,
September 2018,Nadia,,,15.0,8545.0,2148.0,,,
September 2018,North 24 Parganas,,,22.0,37004.0,2797.0,,,
September 2018,Paschim Bardhaman,,,4.0,11158.0,268.0,,,
September 2018,Purba Bardhaman,,,4.0,20040.0,1585.0,,,
September 2018,Purulia,,,14.0,6072.0,689.0,,,
September 2018,South 24 Parganas,,,11.0,101656.0,23412.0,,,
September 2018,Uttar Dinajpur,,,17.0,9822.0,2327.0,,,
