period,district,sum_of_cummul_ative_already_availed_loan_for_same_purpose_from_other,sum_of_cummul_ative_already_having_kcc_with_some_other_bank,sum_of_cummul_ative_any_other_reason,sum_of_cummul_ative_applicant_in_default_npa,sum_of_cummul_ative_applicati_on_for_vending,sum_of_cummul_ative_appplica_nt_i_not_tracable_ii_unwilling_to_avail_iii,sum_of_cummul_ative_farmers_do_not_have_vessel,sum_of_cummul_ative_no_of_applicati_ons_accepted,sum_of_cummul_ative_no_of_applicati_ons_received,sum_of_cummul_ative_no_of_applicati_ons_sanction_ed,sum_of_cummul_ative_not_having_permissi_on_licence_for_pond_res,sum_of_cummul_ative_second_applicati_on_submitte_d_for_same_ot_her,sum_of_cummul_ative_wrong_incomple_te_informati_on_furnishe_d,sum_of_cummula_tive_any_other_reason,sum_of_cummula_tive_applicant_in_default_npa,sum_of_cummula_tive_applicati_on_for_vending,sum_of_cummula_tive_farmers_do_not_have_vessel,sum_of_cummula_tive_no_of_applicati_ons_accepted,sum_of_cummula_tive_no_of_applicati_ons_received,sum_of_cummula_tive_no_of_applicati_ons_sanction_ed,sum_of_cummula_tive_no_of_applicatio_ns_accepted,sum_of_cummula_tive_wrong_incomple_te_informati_on_furnishe,sum_of_cummula_tive_wrong_incomple_te_informati_on_furnished,sum_of_cummulat_ive_appplican_t_i_not_tracable_ii_unwilling_to_avail,sum_of_cummulati_ve_already_availed_loan_for_same_purpose_from_other_banks,sum_of_cummulati_ve_already_having_kcc_with_some_other_bank,sum_of_cummulati_ve_no_of_applicatio_ns_sanctioned,sum_of_cummulati_ve_not_having_permission_licence_for_pond_rese_rvoir,sum_of_cummulati_ve_not_having_permission_licence_for_pond_reser_voir,sum_of_cummulati_ve_second_application_submitted_for_same_other_reasons,sum_of_cummulati_ve_wrong_incomplete_information_furnished,sum_of_cummulativ_e_farmers_do_not_have_vessel,sum_of_cummulativ_e_not_having_permission_licence_for_pond_reserv_oir,sum_of_cummulativ_e_second_application_submitted_for_same_other_reasons,sum_of_cummulativ_e_wrong_incomplete_information_furnished,sum_of_cummulative_already_availed_loan_for_same_purpose_from_other_banks,sum_of_cummulative_already_having_kcc_with_some_other_bank,sum_of_cummulative_appplicant_i_not_tracable_ii_unwilling_to_avail_iii_unaware_about_the_submission_of_application,sum_of_cummulative_no_of_applications_received,sum_of_cummulative_no_of_applications_sanctioned,sum_of_cummulative_not_having_permission_licence_for_pond_reservo_ir,sum_of_cummulative_second_application_submitted_for_same_other_reasons,sum_of_cummulative_wrong_incomplete_information_furnished,sum_of_pendency_more_than_15_days
December 2023,Alipurduar,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,0.0,,0.0
December 2023,Bankura,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,141.0,141.0,,,,0.0,,,,140.0,0.0,,,,,,,,0.0,0.0,0.0,,,,0.0,,0.0
December 2023,Birbhum,,,,,,,,,,,,,,22.0,840.0,0.0,0.0,1787.0,1787.0,,,,0.0,,,,520.0,155.0,,,,,,,,0.0,195.0,55.0,,,,0.0,,0.0
December 2023,Dakshin Dinajpur,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,0.0,,0.0
December 2023,Jalpaiguri,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,35.0,35.0,,,,1.0,,,,34.0,0.0,,,,,,,,0.0,0.0,0.0,,,,0.0,,0.0
December 2023,Jhargram,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,0.0,,0.0
December 2023,Kalimpong,,,,,,,,,,,,,,0.0,22.0,0.0,0.0,149.0,149.0,,,,0.0,,,,53.0,57.0,,,,,,,,0.0,16.0,0.0,,,,0.0,,1.0
December 2023,Kolkata,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,0.0,,0.0
December 2023,Malda,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,0.0,,0.0
December 2023,Murshidabad,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,1.0,,,,0.0,,,,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,0.0,,0.0
December 2023,Nadia,,,,,,,,,,,,,,7.0,7.0,5.0,0.0,66.0,75.0,,,,0.0,,,,35.0,0.0,,,,,,,,0.0,6.0,6.0,,,,0.0,,0.0
December 2023,Paschim Medinipur,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,0.0,,0.0
December 2023,Purba Medinipur,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,0.0,,0.0
