period,district,achievement_no_wise,amount,amount_wise,app_pending_no,coir_board_no_of_unit,dic_no_of_unit,disbursement_made_by_nodal_branches_no_of,disbursement_no,emp,forwarded_no,forwarded_to_bank_no,forwarded_to_bank_no_of_prj,forwarded_to_banks_no,kvib_no_of_unit,kvic_no_of_unit,margin_money_claimed_no_of,mm,mm_claimed,mm_claimed_no,mm_disb_pending_no,mm_disbursed_no,mm_disbursement_no,mm_involve,of_achievement_mm_disbursed_no,pending_at_bank_no,pending_for_mm_disb_no,pending_mm_disb_no,pending_no,rejected_by_bank_no,rejected_no,returned_by_bank_no,returned_no,row,rs_in_lac_no_of_unit,sanctioned_by_bank_no,sanctioned_by_bank_no_of,sanctioned_no,sponsored_in_fy_2023_24_no,sponsored_no,target_2020_21_no,target_for_2023_24_no,total_no_of_unit
December 2017,Alipurduar,,,,,,,18.0,,,,,200.0,,,,18.0,46.92,,,,,,39.31,,,,,,,,,,,,,13.0,,,,,,
December 2017,Bankura,,,,,,,69.0,,,,,425.0,,,,71.0,134.11,,,,,,263.25,,,,,,,,,,,,,112.0,,,,,,
December 2017,Birbhum,,,,,,,30.0,,,,,239.0,,,,34.0,66.85,,,,,,169.39,,,,,,,,,,,,,78.0,,,,,,
December 2017,Cooch Behar,,,,,,,15.0,,,,,875.0,,,,17.0,32.89,,,,,,118.78,,,,,,,,,,,,,53.0,,,,,,
December 2017,Dakshin Dinajpur,,,,,,,36.0,,,,,137.0,,,,31.0,126.29,,,,,,175.07,,,,,,,,,,,,,49.0,,,,,,
December 2017,Darjeeling,,,,,,,16.0,,,,,229.0,,,,17.0,26.73,,,,,,72.83,,,,,,,,,,,,,20.0,,,,,,
December 2017,Hooghly,,,,,,,10.0,,,,,257.0,,,,15.0,30.98,,,,,,46.93,,,,,,,,,,,,,19.0,,,,,,
December 2017,Howrah,,,,,,,9.0,,,,,177.0,,,,14.0,20.97,,,,,,74.84,,,,,,,,,,,,,33.0,,,,,,
December 2017,Jalpaiguri,,,,,,,1.0,,,,,327.0,,,,1.0,1.05,,,,,,48.43,,,,,,,,,,,,,8.0,,,,,,
December 2017,Kolkata,,,,,,,2.0,,,,,131.0,,,,1.0,8.03,,,,,,16.74,,,,,,,,,,,,,3.0,,,,,,
December 2017,Malda,,,,,,,7.0,,,,,302.0,,,,7.0,7.09,,,,,,45.32,,,,,,,,,,,,,43.0,,,,,,
