district,NRLM NPA Amt. %,NRLM NPA Amt.,No. NRLM NPA,Amt. regular NRLM Ir- A/C,NRLM No. Irregular A/C,NRLM Amt. O/S,NRLM O/S No.,Self-Help Current Amount Year Group,Group Current No. Self-Help Year
East Garo Hills,24.35,347.53,416,59.11,86,1427.34,1224,626.47,441
East Jaintia Hills,0.06,1.82,1,1.82,1,2852.4,1583,269,143
East Khasi Hills,2.38,137.17,132,55.87,49,5758.03,3686,1058.15,526
Eastern West Khasi Hills,1.34,34.01,37,21.11,9,2545.53,1204,415.3,134
North Garo Hills,14.57,237.41,325,94.9,101,1629.83,1446,782.77,443
Ri Bhoi,5.61,168.55,102,136.47,97,3004.24,1928,384.67,141
South Garo Hills,31.76,289.58,384,154.65,191,911.74,926,285.16,225
South West Garo Hills,7.62,74.99,78,41.65,42,984.44,783,151.28,91
South West Khasi Hills,6.59,82.47,63,85.25,71,1251.19,810,145.34,72
West Garo Hills,10.88,461.43,449,202.85,208,4242.04,3129,1485.45,736
West Jaintia Hills,3.79,137.79,73,29.03,20,3631.52,2020,517.97,197
West Khasi Hills,0.3,7.54,7,13.79,11,2521.03,1151,323.88,113
