district,PMAY Amount O/S,O/S No PMAY,PMAY Disbursed Current Year Amount under,der Current PMAY Disbursed No un- Year,PMAY Eligible Housing Amount O/S under Loan,O/S under Loan No Housing PMAY Eligible,Loan Rural Amount O/S Housing,Loan No Rural O/S Housing,(NPS) Loan Amount Housing O/S,O/S No (NPS) Loan Housing,(PS) Housing Amount O/S Loan,O/S Loan No (PS) Housing
East Garo Hills,10.88,1,0,0,10.88,1,84.14,9,919.97,73,478.86,74
East Jaintia Hills,1.9,1,0,0,8.87,2,1533.91,84,1454.36,34,741.91,78
East Khasi Hills,1991.88,134,0,0,1529.68,112,8064.96,650,77054.62,4111,29967.88,5307
North Garo Hills,0,0,0,0,0,0,574.05,51,452.8,52,596.77,125
Ri Bhoi,429.83,30,0,0,327.85,27,22260.6,1167,20080.07,1434,8206.42,783
South Garo Hills,0,0,0,0,0,0,34.31,3,823.69,64,485.85,68
South West Garo Hills,0,0,0,0,0,0,966.3,46,729.16,45,419.59,43
South West Khasi Hills,0,0,0,0,0,0,559.06,38,446.91,21,293.44,35
West Garo Hills,92.39,14,0,0,86.96,12,1371.24,149,11782.58,910,4834.27,588
West Jaintia Hills,125.75,13,0,0,17.82,7,1065.01,85,3137.81,153,4316.06,411
West Khasi Hills,228.92,31,0,0,203.19,27,244.45,26,446.88,34,1143.55,141
