district,no_of_blocks,no_of_gps,no_of_gps_and_bhqs,no_of_gps_bhqs_where_ofc_has_been_laid,no_of_gps_bhqs_with_ofc_e_e_tested,no_of_gps_bhq_service_ready,no_of_gp_lit,no_of_bhq_lit,no_of_gps_inclu_bhq_lit_service_opened,no_of_acitve_connec_tivity_bhqs_gps,pct_of_acitve_connectiv_ity
Balasore,12,288,300,300,300,300,288,12,300,208,69.33
Bhadrak,7,188,195,195,195,195,188,7,195,161,82.56
Boudh,3,62,65,65,65,65,62,3,65,33,50.77
Cuttack,14,342,356,356,356,356,342,14,356,195,54.78
Deogarh,3,60,63,63,63,63,60,3,63,19,30.16
Dhenkanal,8,197,205,205,205,205,197,8,205,92,44.88
Gajapati,7,125,132,132,132,132,125,7,132,21,15.91
Ganjam,22,474,496,496,496,496,474,22,496,234,47.18
Jagatsinghpur,8,194,202,202,202,202,194,8,202,180,89.11
Jajpur,10,282,292,292,292,292,282,10,292,142,48.63
Kalahandi,6,146,152,151,151,151,145,6,151,84,55.63
Kandhamal,12,141,153,153,153,153,141,12,153,126,82.35
Kendrapara,9,227,236,236,236,236,227,9,236,226,95.76
Keonjhar,9,193,202,202,202,202,193,9,202,55,27.23
Khordha,10,168,178,178,178,178,168,10,178,80,44.94
Nayagarh,8,175,183,183,183,183,175,8,183,83,45.36
Puri,11,229,240,240,240,240,229,11,240,148,61.67
