District,Total Branch,Lead Bank Name,Jun-22,Sep-22,Dec-22,Mar-23
Baksa,56,SBI,01.12.2022,01.12.2022,,
Barpeta,121,UCO,22.12.2022,22.12.2022,,
Biswanath,55,PNB,13.09.2022,,,
Bongaigaon,57,SBI,21.12.2022,21.12.2022,,
Cachar,160,PNB,13.09.2022,,,
Charaideo,35,PNB,25.08.2022,10.11.2022,,
Chirang,35,SBI,25.08.2022,05.12.2022,,
Darrang,68,UCO,07.09.2022,,,
Dhemaji,45,PNB,21.09.2022,13.12.2022,,
Dhubri,86,UCO,20.10.2022,,,
Dibrugarh,180,PNB,30.07.2022,,,
Dima Hasao,29,SBI,15.09.2022,22.12.2022,,
Goalpara,67,UCO,22.09.2022,22.12.2022,,
Golaghat,118,PNB,28.09.2022,07.01.2023,,
Hailakandi,44,PNB,21.10.2022,05.01.2023,,
Hojai,54,PNB,21.10.2022,,,
Jorhat,135,PNB,02.09.2022,27.12.2022,,
Kamrup Metro,414,UCO,19.10.2022,,,
Kamrup Rural,168,UCO,12.08.2022,,,
Karbi Anglong,64,SBI,21.09.2022,19.12.2022,,
Karimganj,87,PNB,20.10.2022,27.01.2023,,
Kokrajhar,51,UCO,20.09.2022,17.11.2022,,
Lakhimpur,88,PNB,04.08.2022,07-01-2023,,
Majuli,15,PNB,19.09.2022,,,
Morigaon,67,PNB,,,,
Nagaon,153,PNB,26.09.2022,,,
Nalbari,85,UCO,13.10.2022,21.12.2022,,
Sivasagar,96,PNB,29.09.2022,16.02.2023,16.02.2023,
Sonitpur,131,UCO,29.12.2022,29.12.2022,,
South Salmara,11,UCO,07.09.2022,,,
Tinsukia,149,PNB,07.12.2022,07.12.2022,,
Udalguri,49,SBI,16.09.2022,20.12.2022,,
West Karbi Anglong,21,SBI,21.09.2022,,,
