district,advance,cd_ratio,cd_ratio_as_on_dec_2021,cd_ratio_as_on_december_2022_deposit
Alipurduar,4298.51,62.15,49.1,6915.96
Bankura,9009.0,51.82,46.13,17384.0
Birbhum,8891.47,48.31,44.35,18403.43
Cooch Behar,7878.89,75.6,75.51,10422.32
Dakshin Dinajpur,3312.91,62.67,61.29,5286.21
Darjeeling,13908.32,62.08,57.26,22402.99
Hooghly,22387.62,41.31,34.45,54190.7
Howrah,24292.56,47.79,44.8,50834.67
Jalpaiguri,5829.93,60.27,59.19,9673.01
Jhargram,1905.63,41.22,40.02,4622.54
Kalimpong,892.03,46.97,40.47,1899.29
Kolkata,259891.96,64.15,59.17,405132.25
Malda,7975.37,59.45,56.73,13414.22
Murshidabad,13677.71,49.02,42.85,27904.53
Nadia,15301.01,49.8,50.16,30726.8
North 24 Parganas,69009.63,41.53,40.26,166167.7
Paschim Bardhaman,19589.21,41.1,42.48,47662.22
Paschim Medinipur,13177.6,47.47,45.55,27757.81
Purba Bardhaman,16661.48,51.48,49.31,32364.55
Purba Medinipur,14481.83,47.37,45.69,30572.58
Purulia,4769.93,48.72,48.02,9789.84
South 24 Parganas,17559.59,46.04,44.76,38136.91
Uttar Dinajpur,5332.21,60.99,59.92,8742.28
