district,forwarded_to_banks_as_on_30092024_including_the_pending_applications_for_the_yea,amt_in_rs_lakhs,sanctioned_by_banks_from_01042024_to_30092024_no_of_a_c,amt_in_rs_lakhs,rejected_as_on_30092024_no_of_a_c,amt_in_rs_lakhs,pending_as_on_30092024_no_of_a_c,amt_in_rs_lakhs
Angul,67,38.50,0,0.00,,,67,38.50
Balangir,50,25.00,5,2.50,2,1.00,43,21.50
Balasore,609,316.86,167,83.50,297,148.50,145,84.86
Bargarh,26,13.00,1,0.50,,,25,12.50
Bhadrak,79,17.00,0,,,,79,17.00
Boudh,3,1.50,,,,,3,1.50
Cuttack,66,26.00,1,1.00,,,65,25.00
Deogarh,56,24.05,,,13,6.50,43,17.55
Dhenkanal,53,20.63,,,,,53,20.63
Gajapati,7,3.30,,,5,2.30,2,1.00
Ganjam,28,8.50,1,0.50,,,27,8.00
Jagatsinghpur,71,32.50,5,2.50,5,2.50,61,27.50
Jajpur,27,12.50,2,1.00,,,25,11.50
Jharsuguda,51,24.00,,,33,16.50,18,7.50
Kalahandi,28,14.00,4,2.00,,,24,12.00
Kandhamal,3,1.50,,,,,3,1.50
Kendrapara,91,47.50,18,9.00,,,73,38.50
Keonjhar,185,92.00,2,1.00,7,4.00,176,87.00
Khordha,27,13.50,,,,,27,13.50
Koraput,27,13.50,,,,,27,13.50
Malkangiri,10,5.00,,,,,10,5.00
Mayurbhanj,312,144.00,,,136,68.00,176,76.00
Nabarangpur,0,0.00,,,,,,0.00
Nayagarh,57,23.11,3,1.50,,,54,21.61
Nuapada,0,0.00,,,,,0,0.00
Puri,105,84.70,7,7.00,31,21.50,67,56.20
Rayagada,59,29.50,,,10,5.00,49,24.50
Sambalpur,54,27.00,8,4.00,8,4.00,38,19.00
Subarnapur,44,22.00,,,,,44,22.00
Sundargarh,14,7.00,,,11,5.50,3,1.50
