district,amount,disbursement_no,no_of_cases_sponsored,pending_with_bank_for_disbursement_no,project_cost_involved_in_sanctioned_cases,sanctioned,subsidy_involved_in_sanctioned_cases,subsidy_released_no
Alipurduar,0.47,78.0,0.0,31.0,0.0,0.0,0.0,109.0
Bankura,0.04,0.0,0.0,5.0,0.87,37.0,0.26,5.0
Birbhum,0.94,0.0,0.0,170.0,0.0,0.0,0.0,170.0
Cooch Behar,1.12,0.0,0.0,146.0,0.0,0.0,0.0,146.0
Dakshin Dinajpur,0.16,0.0,0.0,19.0,0.0,0.0,0.0,19.0
Darjeeling,0.1,0.0,23.0,9.0,0.0,0.0,0.0,9.0
Hooghly,3.66,0.0,0.0,244.0,0.0,0.0,0.0,244.0
Howrah,1.79,0.0,0.0,231.0,0.0,0.0,0.0,231.0
Jalpaiguri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jhargram,0.3,0.0,0.0,20.0,0.13,6.0,0.04,20.0
Kalimpong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kolkata,0.02,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Malda,0.99,0.0,0.0,80.0,0.0,0.0,0.0,80.0
Murshidabad,2.03,0.0,0.0,202.0,0.0,0.0,0.0,202.0
Nadia,0.74,0.0,0.0,81.0,0.0,0.0,0.0,81.0
Paschim Bardhaman,0.21,0.0,0.0,46.0,0.0,0.0,0.0,46.0
Paschim Medinipur,0.0,219.0,0.0,0.0,0.0,0.0,0.0,219.0
Purba Bardhaman,3.14,0.0,0.0,258.0,3.26,102.0,0.98,258.0
Purba Medinipur,1.37,0.0,0.0,139.0,0.0,0.0,0.0,139.0
Purulia,1.04,0.0,0.0,108.0,0.0,0.0,0.0,108.0
Uttar Dinajpur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
