District,NULM NPA Amt,NULM NPA No.,NULM O/S Amt,NULM O/S No.,NRLM NPA Amt,NRLM NPA No.,NRLM Irregular A/C Amt,NRLM Irregular A/C No.,NRLM O/S Amt,NRLM O/S No.
East Garo Hills,0,0,0,0,16.13,49,17.38,34,532.63,606
East Jaintia Hills,0,0,0,0,0,0,0,0,698.8,724
East Khasi Hills,16.87,26,86.04,80,4.56,5,3.4,8,1484.66,1655
Eastern West Khasi Hills,0,0,0,0,4.16,4,16.39,7,1144.02,802
North Garo Hills,0,0,0,0,35.28,107,7.58,26,324.2,469
Ri Bhoi,6.42,4,0,0,5.75,12,9.43,13,1471.87,1375
South Garo Hills,1.31,1,4.52,5,1.94,24,8.43,21,273.26,305
South West Garo Hills,0,0,0,0,1.5,3,0.76,20,395.69,452
South West Khasi Hills,0,0,0,0,0,0,0.01,1,609.44,536
West Garo Hills,18.02,17,48.52,53,37.66,92,30.57,85,1373.69,1513
West Jaintia Hills,9.68,7,14.86,10,5.5,6,4.12,2,1386.41,1347
West Khasi Hills,0,0,0.2,1,0,0,0,0,882.31,728
