period,district,31_03_2022,31_03_2023,31_03_2024,31_03_2025,amnt,amount,disbursement_during_fy_during_fy_2022_23,during_fy_2021_22,during_fy_2022_23,during_fy_2023_24,during_fy_2024_25,kcc_disbursed_fresh_renewal_in_2016_17_no,kcc_disbursement_during_01_04_2019_to_30_06_2019_fresh_renewal_no,kcc_disbursement_during_01_04_2019_to_30_09_2019_fresh_renewal_no,kcc_disbursement_during_01_04_2019_to_31_03_2020_fresh_renewal_no,kcc_disbursement_during_01_04_2019_to_31_12_2019_fresh_renewal_no,kcc_disbursement_during_01_04_2020_to_30_09_2020_fresh_renewal_no,kcc_disbursement_during_01_04_2020_to_31_03_2021_fresh_renewal_no,kcc_disbursement_during_01_04_2020_to_31_12_2020_fresh_renewal_no,kcc_disbursement_during_01_04_2021_to_30_06_2021_fresh_renewal_no,kcc_disbursement_during_01_04_2021_to_30_09_2021_fresh_renewal_no,kcc_disbursement_during_01_04_2021_to_31_03_2022_fresh_renewal_no,kcc_disbursement_during_01_04_2021_to_31_12_2021_fresh_renewal_no,kcc_disbursement_during_01_04_2022_to_30_06_2022_fresh_renewal_no,kcc_disbursement_during_01_04_2022_to_30_09_2022_fresh_renewal_no,kcc_disbursement_during_01_04_2022_to_31_03_2023_fresh_renewal_no,kcc_disbursement_during_01_04_2023_to_30_06_2023_fresh_renewal_no,kcc_disbursement_during_01_04_2023_to_31_03_2024_fresh_renewal_no,kcc_disbursement_during_01_04_2024_to_31_03_2025_fresh_renewal_no,kcc_disbursement_during_01_04_2024_to_31_12_2024_fresh_renewal_no,kcc_disbursement_during_01_04_2025_to_30_09_2025_fresh_renewal_no,kcc_disbursement_during_01_04_2025_to_31_12_2025_fresh_renewal_no,kcc_disbursement_during_fy_2018_19_no,kcc_disbursement_during_fy_2020_21,kcc_disbursement_during_fy_2021_22,kcc_outstanding_31_03_2021,kcc_outstanding_31_03_2022,kcc_outstanding_as_on_30_06_2020_no,kcc_outstanding_as_on_30_06_2021_no,kcc_outstanding_as_on_30_06_2022_no,kcc_outstanding_as_on_30_06_2023_no,kcc_outstanding_as_on_30_09_2021_no,kcc_outstanding_as_on_30_09_2022_no,kcc_outstanding_as_on_30_09_2025_no,kcc_outstanding_as_on_31_03_2017_no,kcc_outstanding_as_on_31_03_2021_no,kcc_outstanding_as_on_31_03_2022_no,kcc_outstanding_as_on_31_03_2023_no,kcc_outstanding_as_on_31_03_2024_no,kcc_outstanding_as_on_31_03_2025_no,kcc_outstanding_as_on_31_12_2020_no,kcc_outstanding_as_on_31_12_2021_no,kcc_outstanding_as_on_31_12_2024_no,kcc_outstanding_as_on_31_12_2025_no,no_of_farming_family,of_achievement_no,outstanding_as_on_31_03_2023,target_no,total_kcc_active_as_on_31_03_2017_as_reported_by_ldm_no,total_kcc_dormant_as_on_31_03_2017_as_reported_by_ldm_no,total_kcc_generated
December 2019,Alipurduar,,,,,,55.53,,,,,,,,,,10249.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,,50000.0,,,
December 2019,Bankura,,,,,,753.11,,,,,,,,,,108075.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.2,,140000.0,,,
December 2019,Birbhum,,,,,,131.91,,,,,,,,,,62148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.67,,165000.0,,,
December 2019,Cooch Behar,,,,,,461.28,,,,,,,,,,82722.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.72,,100000.0,,,
December 2019,Dakshin Dinajpur,,,,,,137.41,,,,,,,,,,45253.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.14,,110000.0,,,
December 2019,Darjeeling,,,,,,16.94,,,,,,,,,,2805.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.01,,70000.0,,,
December 2019,Hooghly,,,,,,499.39,,,,,,,,,,136470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7,,245000.0,,,
December 2019,Howrah,,,,,,80.37,,,,,,,,,,28562.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.8,,70000.0,,,
December 2019,Jalpaiguri,,,,,,108.43,,,,,,,,,,20998.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,60000.0,,,
December 2019,Jhargram,,,,,,136.3,,,,,,,,,,51586.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.3,,95000.0,,,
December 2019,Kalimpong,,,,,,9.3,,,,,,,,,,1460.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,20000.0,,,
December 2019,Kolkata,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
December 2019,Malda,,,,,,249.58,,,,,,,,,,55718.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.53,,210000.0,,,
December 2019,Murshidabad,,,,,,78.87,,,,,,,,,,37176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.87,,250000.0,,,
December 2019,Nadia,,,,,,695.35,,,,,,,,,,96469.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.45,,280000.0,,,
December 2019,North 24 Parganas,,,,,,306.14,,,,,,,,,,57784.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.08,,240000.0,,,
December 2019,Paschim Bardhaman,,,,,,116.19,,,,,,,,,,26201.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.2,,100000.0,,,
