period,district,no_of_participants,no_of_rural_branches_in_district,no_of_special_camps_conducted_during_the_quarter,no_of_target_specific_camps_conducted_during_the_quarter,target_group_addressed
March 2019,Alipurduar,137.0,73.0,4.0,4.0,14.0
March 2019,Bankura,798.0,225.0,11.0,8.0,124.0
March 2019,Birbhum,14825.0,212.0,104.0,203.0,
March 2019,Cooch Behar,481.0,142.0,8.0,9.0,14.0
March 2019,Dakshin Dinajpur,71.0,79.0,0.0,3.0,146.0
March 2019,Darjeeling,633.0,76.0,6.0,20.0,
March 2019,Hooghly,127.0,237.0,48.0,3.0,16.0
March 2019,Howrah,891.0,177.0,12.0,29.0,
March 2019,Jalpaiguri,590.0,77.0,6.0,10.0,
March 2019,Jhargram,0.0,54.0,0.0,0.0,
March 2019,Kalimpong,0.0,14.0,0.0,0.0,
March 2019,Kolkata,0.0,0.0,0.0,0.0,
March 2019,Malda,31.0,184.0,0.0,1.0,6.0
March 2019,Murshidabad,281.0,262.0,0.0,16.0,4.0
March 2019,Nadia,1992.0,212.0,65.0,21.0,
March 2019,Paschim Bardhaman,237.0,93.0,0.0,6.0,34.0
March 2019,Paschim Medinipur,100.0,326.0,0.0,4.0,4.0
March 2019,Purba Bardhaman,3379.0,267.0,41.0,41.0,
March 2019,Purba Medinipur,237.0,299.0,7.0,7.0,
March 2019,Purulia,583.0,129.0,14.0,14.0,124.0
March 2019,Uttar Dinajpur,18.0,94.0,0.0,1.0,1.0
