period,district,2020_21,2021_22,2022_23,2023_24,2024_25,31_03_2023,31_03_2024,a_chievement_as_on_dec_19_disbursement_no,achievement_as_on_dec_19_sanction_no,achievement_disbursement_no,achievement_sanction_no,amount,amt,amt_in_cr,average,average_disb_rs_in_lakh,average_disburse_ment_in_lakh,average_disbursement,average_disbursement_amount,average_disbursement_amount_in_lakh,average_disbursement_amt_in_lakh,average_disbursement_in_lakh,average_ticket_size_31_03_2022,disbursed_no,disbursement_during_fy_2020_21,disbursement_during_the_fy_2019_20,disbursement_during_the_fy_2022_23,disbursement_no,disbursement_upto_dec25_no,no,nrlm_target_for_2019_20,of_achievement,of_achievement_disbursement_no,of_achievement_no,of_disbursement_against_slbc_target_no,outsanding_loans_as_on_dec_25_no,outstanding_amount,outstanding_as_on_31_03_2022,outstanding_no,pending_no,pending_shg_no,sanction_no,sanctioned_no,sanctioned_upto_dec25_no,target_2020_21_no,target_2021_22,target_2021_22_no,target_2022_23_no,target_2023_24_no,target_2024_25_no,target_for_2019_20_disbursement_no,target_for_2020_21_no,target_fy_2025_26_no,target_no,total_app_submitted,total_application_submitted,total_disbursed_no,total_disbursement,total_disbursement_no,total_outsanding_no,total_outstanding,total_outstanding_no,total_sanction_no,total_sanctioned,total_sanctioned_no
December 2019,Alipurduar,,,,,,,,8935.0,8620.0,,,27.0,,,,,,,,,,,,,,,,,,,,,63.0,,,,,,,,678.0,,,,,,,,,,14100.0,,,,9298.0,,,,,,,,,,
December 2019,Bankura,,,,,,,,23832.0,16871.0,,,44.0,,,,,,,,,,,,,,,,,,,,,83.0,,,,,,,,4263.0,,,,,,,,,,28786.0,,,,21134.0,,,,,,,,,,
December 2019,Birbhum,,,,,,,,33025.0,21358.0,,,72.0,,,,,,,,,,,,,,,,,,,,,86.0,,,,,,,,946.0,,,,,,,,,,38359.0,,,,22304.0,,,,,,,,,,
December 2019,Cooch Behar,,,,,,,,21384.0,13401.0,,,45.0,,,,,,,,,,,,,,,,,,,,,96.0,,,,,,,,5017.0,,,,,,,,,,22293.0,,,,18444.0,,,,,,,,,,
December 2019,Dakshin Dinajpur,,,,,,,,12311.0,8087.0,,,31.0,,,,,,,,,,,,,,,,,,,,,82.0,,,,,,,,5357.0,,,,,,,,,,15012.0,,,,13444.0,,,,,,,,,,
December 2019,Darjeeling,,,,,,,,2094.0,1756.0,,,59.0,,,,,,,,,,,,,,,,,,,,,101.0,,,,,,,,20.0,,,,,,,,,,2082.0,,,,1776.0,,,,,,,,,,
December 2019,Hooghly,,,,,,,,20714.0,13524.0,,,60.0,,,,,,,,,,,,,,,,,,,,,94.0,,,,,,,,3821.0,,,,,,,,,,22150.0,,,,17345.0,,,,,,,,,,
December 2019,Howrah,,,,,,,,18994.0,17574.0,,,90.0,,,,,,,,,,,,,,,,,,,,,104.0,,,,,,,,2300.0,,,,,,,,,,18313.0,,,,19874.0,,,,,,,,,,
December 2019,Jalpaiguri,,,,,,,,15587.0,19132.0,,,30.0,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,1872.0,,,,,,,,,,23940.0,,,,21004.0,,,,,,,,,,
December 2019,Jhargram,,,,,,,,6875.0,5037.0,,,26.0,,,,,,,,,,,,,,,,,,,,,79.0,,,,,,,,2213.0,,,,,,,,,,8661.0,,,,7250.0,,,,,,,,,,
December 2019,Kalimpong,,,,,,,,1235.0,755.0,,,61.0,,,,,,,,,,,,,,,,,,,,,110.0,,,,,,,,5.0,,,,,,,,,,1126.0,,,,760.0,,,,,,,,,,
December 2019,Malda,,,,,,,,26230.0,17324.0,,,37.0,,,,,,,,,,,,,,,,,,,,,71.0,,,,,,,,8100.0,,,,,,,,,,37084.0,,,,25424.0,,,,,,,,,,
December 2019,Murshidabad,,,,,,,,33430.0,24239.0,,,36.0,,,,,,,,,,,,,,,,,,,,,88.0,,,,,,,,738.0,,,,,,,,,,38008.0,,,,24977.0,,,,,,,,,,
December 2019,Nadia,,,,,,,,20280.0,9226.0,,,42.0,,,,,,,,,,,,,,,,,,,,,95.0,,,,,,,,4806.0,,,,,,,,,,21447.0,,,,14032.0,,,,,,,,,,
December 2019,Paschim Bardhaman,,,,,,,,3880.0,2648.0,,,64.0,,,,,,,,,,,,,,,,,,,,,66.0,,,,,,,,556.0,,,,,,,,,,5852.0,,,,3204.0,,,,,,,,,,
December 2019,Paschim Medinipur,,,,,,,,26619.0,20917.0,,,36.0,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,2500.0,,,,,,,,,,33238.0,,,,23417.0,,,,,,,,,,
December 2019,Purba Bardhaman,,,,,,,,24349.0,20321.0,,,80.0,,,,,,,,,,,,,,,,,,,,,89.0,,,,,,,,869.0,,,,,,,,,,27270.0,,,,21190.0,,,,,,,,,,
December 2019,Purba Medinipur,,,,,,,,33785.0,28499.0,,,50.0,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,11636.0,,,,,,,,,,39976.0,,,,40135.0,,,,,,,,,,
December 2019,Purulia,,,,,,,,14566.0,12984.0,,,24.0,,,,,,,,,,,,,,,,,,,,,71.0,,,,,,,,6576.0,,,,,,,,,,20472.0,,,,19560.0,,,,,,,,,,
December 2019,Uttar Dinajpur,,,,,,,,15458.0,17672.0,,,56.0,,,,,,,,,,,,,,,,,,,,,116.0,,,,,,,,3055.0,,,,,,,,,,13375.0,,,,20727.0,,,,,,,,,,
December 2020,Alipurduar,,,,,,,,,,,,,36.0,,,1.19,,,,,,,,,,,,12055.0,,,,,,85.0,,,,,,,,,8792.0,,14100.0,,,,,,,,,,,,,,,,,,,,
December 2020,Bankura,,,,,,,,,,,,,54.0,,,1.37,,,,,,,,,,,,30445.0,,,,,,105.0,,,,,,,,,18854.0,,29088.0,,,,,,,,,,,,,,,,,,,,
December 2020,Birbhum,,,,,,,,,,,,,46.0,,,1.75,,,,,,,,,,,,34403.0,,,,,,68.0,,,,,,,,,27797.0,,50960.0,,,,,,,,,,,,,,,,,,,,
December 2020,Cooch Behar,,,,,,,,,,,,,52.0,,,1.14,,,,,,,,,,,,29615.0,,,,,,126.0,,,,,,,,,16090.0,,23462.0,,,,,,,,,,,,,,,,,,,,
December 2020,Dakshin Dinajpur,,,,,,,,,,,,,32.0,,,1.03,,,,,,,,,,,,13587.0,,,,,,90.0,,,,,,,,,7390.0,,15175.0,,,,,,,,,,,,,,,,,,,,
December 2020,Darjeeling,,,,,,,,,,,,,173.0,,,1.4,,,,,,,,,,,,9787.0,,,,,,330.0,,,,,,,,,1968.0,,2970.0,,,,,,,,,,,,,,,,,,,,
December 2020,Hooghly,,,,,,,,,,,,,64.0,,,1.38,,,,,,,,,,,,28502.0,,,,,,130.0,,,,,,,,,18230.0,,22002.0,,,,,,,,,,,,,,,,,,,,
December 2020,Howrah,,,,,,,,,,,,,66.0,,,1.73,,,,,,,,,,,,22602.0,,,,,,101.0,,,,,,,,,16677.0,,22395.0,,,,,,,,,,,,,,,,,,,,
December 2020,Jalpaiguri,,,,,,,,,,,,,38.0,,,1.14,,,,,,,,,,,,20975.0,,,,,,89.0,,,,,,,,,11295.0,,23493.0,,,,,,,,,,,,,,,,,,,,
December 2020,Jhargram,,,,,,,,,,,,,38.0,,,0.88,,,,,,,,,,,,9702.0,,,,,,112.0,,,,,,,,,4893.0,,8661.0,,,,,,,,,,,,,,,,,,,,
December 2020,Kalimpong,,,,,,,,,,,,,83.0,,,1.72,,,,,,,,,,,,1824.0,,,,,,132.0,,,,,,,,,804.0,,1378.0,,,,,,,,,,,,,,,,,,,,
December 2020,Malda,,,,,,,,,,,,,42.0,,,1.04,,,,,,,,,,,,34354.0,,,,,,93.0,,,,,,,,,16336.0,,37084.0,,,,,,,,,,,,,,,,,,,,
December 2020,Murshidabad,,,,,,,,,,,,,42.0,,,0.83,,,,,,,,,,,,46232.0,,,,,,122.0,,,,,,,,,23311.0,,38008.0,,,,,,,,,,,,,,,,,,,,
December 2020,Nadia,,,,,,,,,,,,,38.0,,,0.84,,,,,,,,,,,,28545.0,,,,,,118.0,,,,,,,,,12182.0,,24174.0,,,,,,,,,,,,,,,,,,,,
December 2020,North 24 Parganas,,,,,,,,,,,,,31.0,,,0.88,,,,,,,,,,,,38352.0,,,,,,101.0,,,,,,,,,23587.0,,38005.0,,,,,,,,,,,,,,,,,,,,
December 2020,Paschim Bardhaman,,,,,,,,,,,,,65.0,,,1.7,,,,,,,,,,,,5512.0,,,,,,75.0,,,,,,,,,4215.0,,7339.0,,,,,,,,,,,,,,,,,,,,
December 2020,Paschim Medinipur,,,,,,,,,,,,,49.0,,,1.09,,,,,,,,,,,,37401.0,,,,,,114.0,,,,,,,,,23548.0,,32871.0,,,,,,,,,,,,,,,,,,,,
