period,district,active_shgs_no,amount,amount_of_loan_disbursed,appl_sponsored,cases_pending,disbursed_no,loan_disbursed,loan_disbursed_no,loan_sanctioned,loan_sanctioned_no,no_fo_shgs_credit_linked,no_of_active,no_of_active_shgs,no_of_cases,no_of_cases_pending,no_of_sponsored,no_of_sponsored_application,no_of_sponsored_application_in_fy_22_23,no_of_sponsored_application_in_fy_23_24,no_of_sponsored_application_in_fy_24_25,no_of_sponsored_application_in_fy_fy_24_25,pending_no,sanctioned_no,sep_g,sep_g_disburs_ed_by_branch,sep_g_disbursed_no,sep_g_sanctioned_no,sep_g_sponsord_ot_bank_branches,sep_g_target_for_fy_20_21,sep_i,sep_i_disburs_ed_by_branch,sep_i_disbursed_no,sep_i_sanctioned_no,sep_i_sponsord_ot_bank_branches,sep_i_target_for_fy_20_21,shg_credit_linkage,shg_credit_linkage_active_shgs,shg_credit_linkage_sponsord_ot_bank_branches,shg_loan_disbursed_no,shg_loan_sanctioned_no,sponsored_in_fy_21_22,sponsored_in_fy_22_23,sponsored_no,target_amount_of_sep_g_loan_to_be_disbursed_fy_22_24,target_amount_of_sep_g_loan_to_be_disbursed_fy_23_24,target_amount_of_sep_g_loan_to_be_disbursed_fy_24_25,target_amount_of_sep_i_loan_to_be_disbursed_fy_22_24,target_amount_of_sep_i_loan_to_be_disbursed_fy_23_24,target_amount_of_sep_i_loan_to_be_disbursed_fy_24_25,target_amount_of_shg_loan_to_be_disbursed_fy_23_24,target_amount_of_shg_loan_to_be_disbursed_fy_24_25,target_disb_no,target_for_2019_20_no,target_for_fy_2020_21_no,target_for_fy_20_21,target_fy_20_21_no,target_fy_21_22_no,target_fy_22_23,target_fy_22_23_no,target_fy_23_24,target_fy_24_25,target_fy_fy_22_23,target_fy_fy_23_24,target_fy_fy_24_25,total_pending,total_sponsored
December 2017,Alipurduar,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,24.0,,,,,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2017,Bankura,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,87.0,,,,,,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2017,Birbhum,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,209.0,,,,,,573.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2017,Cooch Behar,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,156.0,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2017,Dakshin Dinajpur,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,112.0,,,,,,450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2017,Darjeeling,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,233.0,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2017,Hooghly,,,,,,,,,,,,,,,,,,,,,,,,52.0,,,,,,473.0,,,,,,1427.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2017,Howrah,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,262.0,,,,,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2017,Jalpaiguri,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,124.0,,,,,,350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2017,Jhargram,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,30.0,,,,,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2017,Kolkata,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,100.0,,,,,,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2017,Malda,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,147.0,,,,,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2017,Murshidabad,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,186.0,,,,,,800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2017,Nadia,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,412.0,,,,,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2017,North 24 Parganas,,,,,,,,,,,,,,,,,,,,,,,,131.0,,,,,,974.0,,,,,,3900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2017,Paschim Bardhaman,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,518.0,,,,,,450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2017,Paschim Medinipur,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,303.0,,,,,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2017,Purba Bardhaman,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,50.0,,,,,,750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2017,Purba Medinipur,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,157.0,,,,,,700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2017,Purulia,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,99.0,,,,,,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2017,South 24 Parganas,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,218.0,,,,,,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2017,Uttar Dinajpur,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,126.0,,,,,,450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2018,Bankura,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,100.0,,,,,,2427.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2018,Birbhum,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,205.0,,,,,,1737.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2018,Cooch Behar,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,125.0,,,,,,871.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2018,Dakshin Dinajpur,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,90.0,,,,,,1113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2018,Darjeeling,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,130.0,,,,,,1343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2018,Hooghly,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,498.0,,,,,,4128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2018,Howrah,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,166.0,,,,,,1087.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2018,Jalpaiguri,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,113.0,,,,,,927.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2018,Jhargram,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,48.0,,,,,,389.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2018,Kalimpong,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,5.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2018,Malda,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,50.0,,,,,,370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2018,Murshidabad,,,,,,,,,,,,,,,,,,,,,,,,61.0,,,,,,264.0,,,,,,2813.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2018,Nadia,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,344.0,,,,,,4262.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2018,North 24 Parganas,,,,,,,,,,,,,,,,,,,,,,,,78.0,,,,,,931.0,,,,,,9604.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2018,Paschim Medinipur,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,283.0,,,,,,2936.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2018,Purba Medinipur,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,222.0,,,,,,2582.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2018,Purulia,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,27.0,,,,,,785.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2018,South 24 Parganas,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,243.0,,,,,,2100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2018,Uttar Dinajpur,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,100.0,,,,,,820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2019,Alipurduar,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,40.0,,,,,,489.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2019,Bankura,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,120.0,,,,,,1945.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2019,Birbhum,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,230.0,,,,,,3065.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2019,Cooch Behar,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,190.0,,,,,,1459.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2019,Dakshin Dinajpur,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,90.0,,,,,,1707.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2019,Darjeeling,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,130.0,,,,,,1773.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2019,Hooghly,,,,,,,,,,,,,,,,,,,,,,,,39.0,,,,,,520.0,,,,,,4490.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2019,Howrah,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,150.0,,,,,,1210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2019,Jalpaiguri,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,130.0,,,,,,1381.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2019,Jhargram,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,45.0,,,,,,412.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2019,Kalimpong,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,20.0,,,,,,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2019,Kolkata,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,100.0,,,,,,656.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2019,Malda,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,70.0,,,,,,584.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2019,Murshidabad,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,263.0,,,,,,4493.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2019,Nadia,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,357.0,,,,,,4929.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2019,North 24 Parganas,,,,,,,,,,,,,,,,,,,,,,,,74.0,,,,,,1136.0,,,,,,13318.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
