period,district,aadhaar_seeded,female_a_c,male_a_c,rupaycard_issued,rural_a_c,total_a_c,total_deposit,total_enrolment_uner_social_security_schemes,total_no_of_apy,total_no_of_pmjjby,total_no_of_pmsby,total_no_pmjdy_a_c,urban_a_c,zero_balance_account
June 2025,Birbhum,2175651.0,1413969.0,1057980.0,1485286.0,1988975.0,2471949.0,1170.53,,,,,,482974.0,84571.0
June 2025,Cooch Behar,1562614.0,994169.0,775422.0,1367725.0,1281104.0,1769591.0,600.79,,,,,,488487.0,104905.0
June 2025,Dakshin Dinajpur,1103613.0,729228.0,554821.0,766806.0,1038486.0,1284049.0,477.63,,,,,,245563.0,81103.0
June 2025,Darjeeling,577153.0,385987.0,268610.0,518179.0,306334.0,654597.0,418.79,,,,,,348263.0,43988.0
June 2025,Hooghly,2310820.0,1527388.0,1041985.0,1650705.0,1758115.0,2569373.0,1441.66,,,,,,811258.0,109741.0
June 2025,Howrah,1965112.0,1287430.0,908138.0,1485254.0,1441200.0,2195568.0,1153.18,,,,,,754368.0,78254.0
June 2025,Jalpaiguri,1298011.0,839288.0,613451.0,1081584.0,908706.0,1452739.0,641.65,,,,,,544033.0,94536.0
June 2025,Jhargram,418453.0,280076.0,220304.0,274090.0,465607.0,500380.0,311.15,,,,,,34773.0,21249.0
June 2025,Kalimpong,50305.0,32014.0,24786.0,44808.0,35583.0,56800.0,29.47,,,,,,21217.0,3222.0
June 2025,Kolkata,851441.0,571887.0,444102.0,787748.0,8686.0,1015989.0,457.16,,,,,,1007303.0,104188.0
June 2025,Malda,3220302.0,2069410.0,1557542.0,2033516.0,3137346.0,3626952.0,1381.18,,,,,,489606.0,305025.0
June 2025,Murshidabad,4377137.0,2804201.0,2187034.0,3501844.0,3720152.0,4991235.0,1771.72,,,,,,1271083.0,338787.0
June 2025,Nadia,2856298.0,1908106.0,1423369.0,2206088.0,2239405.0,3331475.0,1495.63,,,,,,1092070.0,215022.0
June 2025,North 24 Parganas,4222009.0,2768521.0,2030800.0,3341398.0,2834846.0,4799321.0,2415.17,,,,,,1964475.0,253868.0
June 2025,Paschim Bardhaman,1335430.0,1011077.0,536991.0,804211.0,862023.0,1548068.0,619.05,,,,,,686045.0,76432.0
June 2025,Paschim Medinipur,2458073.0,1623950.0,1167519.0,1696138.0,2277088.0,2791469.0,1550.31,,,,,,514381.0,125533.0
June 2025,Purba Bardhaman,2116955.0,1427250.0,980019.0,1785247.0,1839640.0,2407269.0,1097.59,,,,,,567629.0,83059.0
June 2025,Purba Medinipur,2382930.0,1535859.0,1177936.0,1684707.0,2465700.0,2713795.0,1542.47,,,,,,248095.0,122630.0
June 2025,Purulia,1916393.0,1196300.0,974445.0,1318297.0,1797823.0,2170745.0,1320.83,,,,,,372922.0,129333.0
June 2025,South 24 Parganas,4762022.0,3108286.0,2332144.0,3523064.0,4614521.0,5440430.0,2529.56,,,,,,825909.0,347569.0
June 2025,Uttar Dinajpur,2427713.0,1628137.0,1257485.0,1546473.0,2249889.0,2885622.0,785.45,,,,,,635733.0,243294.0
