district,credit_linkage,no_of_programs,own,self_employed_bank,settlement,total,total_settlement,total_trained,wage_employe
Bankura,0.0,6.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0
Birbhum,0.0,3.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0
Cooch Behar,60.78,4.0,20.0,31.0,63.75,51.0,51.0,80.0,0.0
Darjeeling,0.0,3.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0
Hooghly,0.0,4.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0
Howrah,55.56,13.0,12.0,15.0,8.31,27.0,28.0,337.0,1.0
Jalpaiguri,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0
Malda,34.62,7.0,17.0,9.0,23.85,26.0,26.0,109.0,0.0
Nadia,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
North 24 Parganas,0.0,4.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0
Purba Bardhaman,0.0,8.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0
Purba Medinipur,0.0,3.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0
Purulia,0.0,2.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0
Uttar Dinajpur,78.95,3.0,4.0,15.0,41.3,19.0,19.0,46.0,0.0
