District,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7
Araria,STATE,BANK,OF,INDIA,9,9,0
Arwal,PUNJAB,NATIONAL,BANK,5,5,0,
Aurangabad,PUNJAB,NATIONAL,BANK,11,11,0,
Banka,UCO,BANK,11,11,0,,
Begusarai,UCO,BANK,18,18,0,,
Bhagalpur,UCO,BANK,16,16,0,,
Bhojpur,PUNJAB,NATIONAL,BANK,14,14,0,
Buxar,PUNJAB,NATIONAL,BANK,11,11,0,
Darbhanga,CENTRAL,BANK,OF,INDIA,18,18,0
Gaya,PUNJAB,NATIONAL,BANK,24,24,0,
Gopalganj,CENTRAL,BANK,OF,INDIA,14,8,6
Jamui,STATE,BANK,OF,INDIA,10,10,0
Jehanabad,PUNJAB,NATIONAL,BANK,7,7,0,
Kaimur (Bhabua),PUNJAB,NATIONAL,BANK,11,11,0,
Katihar,CENTRAL,BANK,OF,INDIA,16,16,0
Khagaria,UNION,BANK,OF,INDIA,7,7,0
Kishanganj,STATE,BANK,OF,INDIA,7,7,0
Lakhisarai,PUNJAB,NATIONAL,BANK,7,7,0,
Madhepura,STATE,BANK,OF,INDIA,13,13,0
Madhubani,CENTRAL,BANK,OF,INDIA,21,21,0
Munger,UCO,BANK,9,9,0,,
Muzaffarpur,CENTRAL,BANK,OF,INDIA,16,12,4
Nalanda,PUNJAB,NATIONAL,BANK,20,20,0,
Nawada,PUNJAB,NATIONAL,BANK,14,14,0,
Pashchim Champaran,CENTRAL,BANK,OF,INDIA,18,18,0
Patna,PUNJAB,NATIONAL,BANK,23,23,0,
Purbi Champaran,CENTRAL,BANK,OF,INDIA,27,25,2
Purnia,STATE,BANK,OF,INDIA,14,14,0
Rohtas,PUNJAB,NATIONAL,BANK,19,19,0,
Saharsa,STATE,BANK,OF,INDIA,10,10,0
Samastipur,UNION,BANK,OF,INDIA,20,20,0
Saran,CENTRAL,BANK,OF,INDIA,20,20,0
Sheikhpura,CANARA,BANK,6,6,0,,
Sheohar,BANK,OF,BARODA,5,5,0,
Sitamarhi,BANK,OF,BARODA,17,17,0,
Siwan,CENTRAL,BANK,OF,INDIA,19,19,0
Supaul,STATE,BANK,OF,INDIA,11,9,2
Vaishali,CENTRAL,BANK,OF,INDIA,16,16,0
