district,ATMA NIRBHAR PASHU PALAN YOJANA,ATMA NIRBHAR MATSYA PALAN YOJANA
Anjaw,19,8
Changlang,95,90
Dibang Valley,19,
East Kameng,81,65
East Siang,55,59
Kamle,22,2
Kra Daadi,38,52
Kurung Kumey,12,41
Lepa Rada,20,2
Lohit,20,24
Longding,60,41
Lower Dibang Valley,42,33
Lower Siang,42,39
Lower Subansiri,41,39
Namsai,69,41
Pakke Kessang,19,0
Papum Pare,77,103
Shi Yomi,0,0
Siang,38,15
Tawang,15,0
Tirap,64,51
Upper Siang,33,0
Upper Subansiri,75,42
West Kameng,26,11
West Siang,59,34
