District,Branch Rural,Branch Semi-Urban,Branch Urban,Total Branch,ATM Rural,ATM Semi-Urban,ATM Urban,ATM Total
Araria,85,79,166,18,91,115,954,
Arwal,40,65,14,13,44,572379,226,
Aurangabad,191,52,33,204,43,40,57,140
Banka,1,126,36,57,1083907,406,,
Bhojpur,128,53,244,29,42,125,196,1637321
Buxar,29,157,25,59,107,1393463,1138,
Darbhanga,65,72,255,29,31,172,232,2969193
Gopalganj,121,68,1,190,41,104,7,152
Katihar,112,36,41,189,23,18,82,123
Khagaria,46,69,3,118,17,61,8,86
Madhepura,43,81,1,125,71,87,1848533,913
Munger,60,33,47,140,19,20,81,120
Nalanda,141,71,49,261,31,54,103,188
Nawada,84,63,149,9,64,3,76,1776402
Pashchim Champaran,77,44,224,28,74,105,207,3390502
Patna,211,183,589,988,95,171,1265,1531
Purnia,103,59,77,239,26,23,131,180
