District,branch_rural,branch_semi_urban,branch_urban,total_branch
Adilabad,53.0,18.0,37.0,108.0
Bhadradri Kothagudem,67.0,102.0,0.0,169.0
Hanumakonda,36.0,19.0,107.0,162.0
Hyderabad,2.0,3.0,1104.0,1109.0
Jagitial,64.0,36.0,26.0,126.0
Jangoan,31.0,29.0,1.0,61.0
Jayashankar Bhupalapally,24.0,20.0,0.0,44.0
Jogulamba Gadwal,22.0,34.0,0.0,56.0
Kamareddy,74.0,58.0,1.0,133.0
Karimnagar,92.0,40.0,84.0,216.0
Khammam,98.0,61.0,85.0,244.0
Kumuram Bheem Asifabad,40.0,13.0,1.0,54.0
Mahabubabad,25.0,43.0,1.0,69.0
Mahabubnagar,50.0,28.0,61.0,139.0
Mancherial,48.0,68.0,6.0,122.0
Medak,59.0,45.0,2.0,106.0
Medchal Malkajgiri,42.0,108.0,464.0,614.0
Mulugu,26.0,10.0,1.0,37.0
Nagarkurnool,48.0,38.0,1.0,87.0
Nalgonda,92.0,44.0,87.0,223.0
Narayanpet,27.0,26.0,0.0,53.0
Nirmal,54.0,33.0,5.0,92.0
Nizamabad,144.0,55.0,79.0,278.0
Peddapalli,42.0,42.0,27.0,111.0
Rajanna Sircilla,36.0,27.0,6.0,69.0
Ranga Reddy,146.0,102.0,490.0,738.0
Sangareddy,86.0,116.0,35.0,237.0
Siddipet,67.0,47.0,27.0,141.0
Suryapet,63.0,52.0,41.0,156.0
Vikarabad,56.0,42.0,4.0,102.0
Wanaparthy,23.0,35.0,1.0,59.0
Warangal,40.0,19.0,67.0,126.0
Yadadri Bhuvanagiri,55.0,47.0,2.0,104.0
