district,Agri A/C Nos.,Agri Amt.,MSME A/C Nos.,MSME Amt.,Other PS A/C Nos.,Other PS Amt.,Total Priority Sector Target A/C Nos.,Total Priority Sector Target Amt.
Baksa,50121,43905.93,1897,6204,4161,7373.46,56179,57483.39
Barpeta,84322,103492.08,9670,31620,4531,15384.48,98523,150496.56
Biswanath,12354,22441.43,3416,8821.7,597,2516.05,16367,33779.18
Bongaigaon,37838,68535.77,6600,31360,2470,14064,46908,113959.77
Cachar,86134,85444.29,16082,66896,2950,12481.3,105166,164821.59
Charaideo,31043,32503,1044,4995,1249,5137,33336,42635
Chirang,45272,43498.69,100,1088,1802,4483.28,47174,49069.97
Darrang,54233,43093.53,7740,22008.99,2079,7858.61,64052,72961.13
Dhemaji,48075,44066.77,2910,12204,1466,4548.84,52451,60819.61
Dhubri,81745,81081.18,9925,36456,9632,21928.08,101302,139465.26
Dibrugarh,39259,57210.44,9603,44587.91,3032,16738.3,51894,118536.65
Dima Hasao,32463,42261.75,380,1152,460,1437.1,33303,44850.85
Goalpara,66828,58514.98,4760,15744,1587,5402.47,73175,79661.45
Golaghat,43755,47075.85,4634,19984,5451,13708.93,53840,80768.78
Hailakandi,44543,42027.5,2935,10880,1205,2878.62,48683,55786.12
Hojai,21422,14726.31,13758,10203.39,990,5025.3,36170,29955
Jorhat,55482,77313.73,5100,41984,2034,17677.24,62616,136974.97
Kamrup Metro,62534,53859.86,7680,62243,9187,8392.99,79401,124495.85
Karbi Anglong,71115,68379.72,843,4085.87,2025,16706.79,73983,89172.38
Karimganj,45234,36408.31,5073,34283,1420,3415.93,51727,74107.24
Kokrajhar,42165,47740.06,929,5593,1272,5155,44366,58488.06
Lakhimpur,61417,62582.94,6938,22304,1265,3636.92,69620,88523.86
Majuli,29457,25796.45,349,2288,940,2699.12,30746,30783.57
Morigaon,78015,56498.36,1898,21580.8,3907,13128.1,83820,91207.26
Nagaon,104211,103223.06,17400,49080,2440,6466.43,124051,158769.49
Nalbari,21730,29274,17691,21550,5724,21695,45145,72519
Sivasagar,22058,35788.31,13171,28744.5,2641,8835.47,37870,73368.28
Sonitpur,36392,40883.47,12256,47848,6361,22762.32,55009,111493.79
South Salmara,32028,28314.75,704,5248,2370,4715.56,35102,38278.31
Tinsukia,42725,51882.57,6209,49148.9,6868,13542.89,55802,114574.36
Udalguri,48368,44808.9,4188,17241,3841,9659.55,56397,71709.45
West Karbi Anglong,36252,36668.51,154,600.04,2053,6987.48,38459,44256.03
