district,Amt. PMEGP % NPA,PMEGP NPA Amt.,No. PMEGP NPA,Amt. PMEGP O/S,PMEGP O/S No.,CY Amt. BURSED DIS-,CY A/C No. BURSED DIS-,CY TION Amt. SANC-,CY TION No. A/C SANC-
East Garo Hills,34.94,187.34,109,536.12,225,124.58,35,234.07,61
East Jaintia Hills,4.26,15.9,13,373.36,108,104.34,21,156.38,24
East Khasi Hills,19.97,1177.82,531,5897.88,1426,1316.27,249,2140.22,303
Eastern West Khasi Hills,10.05,27.59,23,274.61,92,38.09,10,68.12,12
North Garo Hills,29.3,159.07,98,542.94,228,116.99,38,276.21,65
Ri Bhoi,18.66,233.38,148,1250.47,461,376.27,129,598.81,131
South Garo Hills,40.7,209.83,135,515.53,205,51.8,17,131.06,25
South West Garo Hills,35.66,236.4,115,662.97,254,145.74,39,272.99,56
South West Khasi Hills,11.89,42.06,29,353.76,137,57.88,27,116.39,28
West Garo Hills,23.85,695.64,283,2916.32,842,738.15,174,1190.62,249
West Jaintia Hills,8.85,164.24,99,1855.33,512,987.32,230,1019.86,207
West Khasi Hills,31.35,168.81,140,538.53,243,58.61,29,185.27,38
