district,al b u o h T,g n hi c k a K,el d n a h C,al p u o n g n e T,ur p d n a h c a ur h C,al w z er h P,ati p a n e S,pi k o p g n a K,st e W al h p m I,st a E al h p m I,m a b Jiri,ur p u n h s Bi,g n o gl n e m a T,y e n o N,ul hr k U,g n o mj a K,al ot T
ALB,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1
AXB,-,1,-,1,1,-,-,-,9,6,-,1,-,-,-,-,19
BAND,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1
BOB,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,4
BOI,1,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,5
CBI,1,-,-,-,2,-,-,-,5,1,-,-,-,-,-,-,9
CNB,1,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,3
HDF,3,-,-,-,1,-,1,-,4,4,-,-,-,-,-,-,13
ICI,1,-,-,-,1,-,-,-,4,2,-,-,-,-,-,-,8
IDB,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,2
IIB,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1
IOB,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,2
IPPB,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1
IUCB,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1
MSCB,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1
PNB,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,2
PSB,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,3
SBI,16,6,2,4,18,-,13,7,88,34,-,12,-,1,4,1,206
SYB,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1
UBI,1,1,-,1,3,-,2,-,10,2,1,1,1,-,1,-,24
UCO,-,-,1,-,1,-,1,-,1,1,-,2,-,-,1,-,8
UOB,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1
VJB,-,-,-,-,1,-,-,1,4,-,-,-,-,-,-,-,6
YES,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1
