district,no_of_farmers_members_of_fpo,no_of_fpc
Bankura,4024.0,4.0
Birbhum,2694.0,11.0
Cooch Behar,3000.0,3.0
Darjeeling,2000.0,2.0
Hooghly,2559.0,3.0
Jalpaiguri,7500.0,2.0
Malda,617.0,1.0
Nadia,1346.0,2.0
Paschim Medinipur,5002.0,5.0
Purba Bardhaman,3573.0,3.0
Purba Medinipur,1100.0,1.0
Purulia,5060.0,5.0
Uttar Dinajpur,4836.0,14.0
