District,Other Amt,Other No.,Godown Amt,Godown No.,Fisheries Amt,Fisheries No.,Poultry Amt,Poultry No.,Farm Mechanisation Amt,Farm Mechanisation No.,Dairy Amt,Dairy No.,AH & Allied Activities KCCs Amt,AH & Allied Activities KCCs No.
East Garo Hills,0.89,3,0,0,0.77,1,0,0,0,0,0,0,0,0
East Jaintia Hills,21.23,8,0,0,0,0,0,0,0,0,0,0,0,0
East Khasi Hills,242.89,144,0,0,4.5,4,3.38,7,0.75,1,13.58,13,9,36
North Garo Hills,1.5,3,0,0,0,0,0,0,0,0,1,1,0,0
Ri Bhoi,27.83,38,0,0,4.25,4,12.32,21,3.05,5,3.06,13,0,0
South Garo Hills,0,0,0,0,0,0,0,1,0,0,0.8,1,0.8,2
South West Garo Hills,18.2,71,0,0,0,0,0,0,0,0,0,0,0,0
South West Khasi Hills,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Garo Hills,63.41,209,0,0,0,0,2.32,5,0,0,8.81,12,0,0
West Jaintia Hills,10.76,21,0,0,5.53,28,3.2,5,0,0,4.3,2,0,0
West Khasi Hills,5,4,10.12,1,0,0,0,0,0,0,0,0,0,0
