District,Branch Rural,Branch Semi-Urban,Branch Urban,Total Branch,ATM Rural,ATM Semi-Urban,ATM Urban,Total ATM,"Out Of Total CSP, Fixed Point CSP","Out Of Total CSP,Other CSP",Total CSP
Anjaw,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,6.0,0.0,6.0
Changlang,7.0,3.0,0.0,10.0,11.0,0.0,0.0,11.0,58.0,12.0,70.0
Dibang Valley,1.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0
East Kameng,0.0,5.0,0.0,5.0,0.0,9.0,0.0,9.0,16.0,10.0,26.0
East Siang,5.0,11.0,0.0,16.0,1.0,16.0,0.0,17.0,75.0,23.0,98.0
Kamle,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
Kra Daadi,1.0,0.0,0.0,1.0,2.0,2.0,0.0,4.0,5.0,2.0,7.0
Kurung Kumey,1.0,3.0,0.0,4.0,1.0,1.0,0.0,2.0,1.0,3.0,4.0
Lepa Rada,2.0,2.0,0.0,4.0,1.0,0.0,0.0,1.0,4.0,1.0,5.0
Lohit,3.0,3.0,0.0,6.0,1.0,9.0,0.0,10.0,9.0,1.0,10.0
Longding,3.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,6.0,1.0,7.0
Lower Dibang Valley,2.0,6.0,0.0,8.0,0.0,8.0,0.0,8.0,51.0,7.0,58.0
Lower Siang,6.0,0.0,0.0,6.0,2.0,0.0,0.0,2.0,19.0,17.0,36.0
Lower Subansiri,5.0,9.0,0.0,14.0,2.0,10.0,0.0,12.0,37.0,3.0,48.0
Namsai,6.0,4.0,0.0,10.0,2.0,2.0,0.0,4.0,30.0,10.0,40.0
Pakke Kessang,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Papum Pare,14.0,48.0,0.0,62.0,9.0,107.0,0.0,116.0,96.0,4.0,100.0
Shi Yomi,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,1.0,4.0
Siang,4.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,20.0,0.0,20.0
Tawang,3.0,7.0,0.0,10.0,3.0,12.0,0.0,15.0,17.0,1.0,18.0
Tirap,3.0,2.0,0.0,5.0,4.0,0.0,0.0,4.0,16.0,0.0,16.0
Upper Siang,4.0,3.0,0.0,7.0,3.0,0.0,0.0,3.0,12.0,1.0,13.0
Upper Subansiri,7.0,2.0,0.0,9.0,1.0,5.0,0.0,6.0,13.0,2.0,15.0
West Kameng,15.0,1.0,0.0,16.0,28.0,1.0,0.0,29.0,31.0,1.0,32.0
West Siang,3.0,6.0,0.0,9.0,0.0,12.0,0.0,12.0,28.0,8.0,40.0
