district,PMAY Amount O/S,No PMAY O/S,PMAY Disbursed Current Year Amount under,PMAY Disbursed Current No Year under,PMAY Eligible Housing Amount O/S under Loan,Loan O/S under No Housing PMAY Eligible,Loan Rural Amount O/S Housing,Loan No Rural O/S Housing,(NPS) Loan Amount O/S Housing,No (NPS) Loan O/S Housing,(PS) Housing Amount O/S Loan,O/S Loan No (PS) Housing
East Garo Hills,9.54,1,0,0,9.54,1,81.03,9,1095.8,86,444,70
East Jaintia Hills,0,0,0,0,18.62,4,1438.06,82,1268.68,36,769.67,78
East Khasi Hills,1862.72,129,10,1,1647.42,119,8832.39,505,85915.56,4068,30853.99,5474
North Garo Hills,0,0,0,0,0,0,728.87,54,599.26,62,575.65,123
Ri Bhoi,386.76,29,0,0,362.36,27,23704.22,1194,21865.11,1491,8351.5,791
South Garo Hills,0,0,0,0,0,0,61.78,3,940.73,70,468.08,67
South West Garo Hills,0,0,0,0,0,0,960.87,46,781.14,44,421.18,42
South West Khasi Hills,0,0,0,0,0,0,590.32,41,469.63,30,315.02,37
West Garo Hills,84.58,14,0,0,79.74,12,1390.64,147,13129.3,964,4529.26,539
West Jaintia Hills,150.01,30,0,0,26.56,9,1121.84,88,2666.63,158,4980.05,429
West Khasi Hills,207.77,30,0,0,201.33,29,295.67,30,448.37,35,1182.88,133
