district,no_of_blocks,no_of_gps,no_of_gps_and_bhqs,no_of_gps_bhqs_where_ofc_has_been_laid,no_of_gps_bhqs_with_ofc_e_e_tested,no_of_gps_bhq_service_ready,no_of_gp_lit,no_of_bhq_lit,no_of_gps_inclu_bhq_lit_service_opened,no_of_acitve_connect_ivity_bhqs_gps,pct_of_acitve_connectivit_y
Balasore,12,288,300,300,300,300,288,12,300,195,65.00
Bhadrak,7,188,195,195,195,195,188,7,195,161,82.56
Boudh,3,62,65,65,65,65,62,3,65,31,47.69
Cuttack,14,342,356,356,356,356,342,14,356,181,50.84
Deogarh,3,60,63,63,63,63,60,3,63,17,26.98
Dhenkanal,8,197,205,205,205,205,197,8,205,87,42.44
Gajapati,7,125,132,132,132,132,125,7,132,10,7.58
Ganjam,22,474,496,496,496,496,474,22,496,240,48.39
Jagatsinghpur,8,194,202,202,202,202,194,8,202,179,88.61
Jajpur,10,282,292,292,292,292,282,10,292,131,44.86
Kalahandi,6,146,152,151,151,151,145,6,151,85,56.29
Kandhamal,12,141,153,153,153,153,141,12,153,122,79.74
Kendrapara,9,227,236,236,236,236,227,9,236,221,93.64
Keonjhar,9,193,202,202,202,202,193,9,202,50,24.75
Khordha,10,168,178,178,178,178,168,10,178,78,43.82
Nayagarh,8,175,183,183,183,183,175,8,183,82,44.81
Puri,11,229,240,240,240,240,229,11,240,148,61.67
