District,Lead Bank,Dateof Dcc Meeting 1st Qtr,2nd Qtr,3rd Qtr,4th Qtr,Datesof Dlrc Meeting 1st Qtr
Bishnupur,,12/11/2019,12/11/2019,,,12/11/2019
Chandel,,23/09/2019,04/12/2019,,,23/09/2019
Churachandpur,,13/09/2019,09/12/2019,,,13/09/2019
Imphal East,U B I,09/10/2019,10/12/2019,,,09/10/2019
Imphal West,,04/10/2019,29/11/2019,,,04/10/2019
Jiribam,,10/09/2019,09/12/2019,,,10/09/2019
Kakching,,20/09/2019,22/11/2019,,,20/09/2019
Kamjong,,18/11/2019,18/11/2019,,,18/11/2019
Kangpokpi,,23/09/2019,09/12/2019,,,23/09/2019
Noney,,05/11/2019,05/11/2019,,,05/11/2019
Pherzawl,,30/08/2019,30/11/2019,,,30/08/2019
Senapati,,21/09/2019,11/12/2019,,,21/09/2019
Tamenglong,,18/09/2019,2/12/2019,,,18/09/2019
Tengnoupal,,26/11/2019,26/11/2019,,,26/11/2019
Thoubal,S B I,31/08/2019,11/12/2019,,,31/08/2019
Ukhrul,,27/11/2019,27/11/2019,,,27/11/2019
