district,no_of_literacy_camp_conducted_as_per_rbi_guidelines_using_standardized_financial_literacy_material_of_rbi,no_of_literacy_camps_under_taken_during_the_qt_as_per_rbi_guidelines_5,no_of_persons_participated,no_of_persons_participated_in_literacy_camps_during_the_quarter_284,no_of_rural_branches_in_the_district,no_of_rural_branches_which_have_conducted_literacy_camps_as_per_rbi_guidelines_using_standardized_financial_literacy_material_of_rbi_in_the_quarter,out_of_persons_participated_no_of_persons_already_have_bank_account_at_the_time_of_attending_the_camp,out_of_persons_participated_no_of_persons_already_having_bank_account_at_the_time_of_attending_camp_212,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp_41,sl_no_1
Alipurduar,36.0,,1804.0,,72.0,30.0,1056.0,,348.0,,
Bankura,124.0,3.0,1016.0,142.0,227.0,56.0,624.0,90.0,144.0,40.0,8.0
Birbhum,104.0,,402.0,,210.0,78.0,352.0,,41.0,0.0,14.0
Cooch Behar,116.0,8.0,3622.0,630.0,149.0,95.0,2087.0,464.0,710.0,106.0,36.0
Dakshin Dinajpur,68.0,6.0,620.0,168.0,70.0,47.0,512.0,75.0,42.0,60.0,6.0
Darjeeling,38.0,6.0,1815.0,468.0,75.0,26.0,1455.0,316.0,305.0,35.0,22.0
Hooghly,158.0,7.0,4022.0,228.0,241.0,116.0,3286.0,115.0,602.0,64.0,12.0
Howrah,151.0,7.0,2874.0,446.0,193.0,98.0,2246.0,220.0,412.0,166.0,10.0
Jalpaiguri,39.0,16.0,830.0,2022.0,79.0,31.0,636.0,1522.0,156.0,465.0,20.0
Malda,74.0,4.0,964.0,106.0,184.0,48.0,738.0,78.0,92.0,22.0,31.0
Murshidabad,168.0,12.0,4602.0,341.0,266.0,140.0,3248.0,251.0,526.0,70.0,39.0
Nadia,118.0,4.0,908.0,147.0,129.0,66.0,508.0,80.0,302.0,58.0,9.0
Paschim Medinipur,221.0,,9422.0,,326.0,149.0,5266.0,,1230.0,,
Purba Bardhaman,164.0,3.0,3836.0,524.0,373.0,110.0,3086.0,322.0,711.0,142.0,13.0
Purba Medinipur,69.0,,1451.0,,299.0,52.0,1045.0,,204.0,,
Purulia,86.0,,986.0,,129.0,65.0,704.0,,212.0,,24.0
Uttar Dinajpur,56.0,4.0,415.0,224.0,94.0,35.0,302.0,170.0,60.0,45.0,4.0
