District,Export,Education PS,Housing PS,Social Infra,Renewable,Other PS,Total OPS NPA
Anjaw,0,0,0,0,0,0,0
Changlang,0,1,0,0,0,12,13
Dibang Valley,0,0,1,0,0,1,2
East Kameng,0,0,4,0,0,0,4
East Siang,0,0,2,0,0,16,18
Kamle,0,0,0,0,0,0,0
Kra Daadi,0,0,0,0,0,0,0
Kurung Kumey,0,0,4,0,0,7,11
Lepa Rada,0,0,1,0,0,0,1
Lohit,0,3,1,0,0,6,10
Longding,0,0,0,0,0,0,0
Lower Dibang Valley,0,0,0,0,0,2,2
Lower Siang,0,0,0,0,0,0,0
Lower Subansiri,0,0,8,0,0,30,38
Namsai,0,1,1,0,0,3,5
Pakke Kessang,0,0,0,0,0,0,0
Papum Pare,0,36,67,1,0,185,289
Shi Yomi,0,0,1,0,0,1,2
Siang,0,0,0,0,0,0,0
Tawang,0,0,1,0,0,12,13
Tirap,0,0,0,0,0,0,0
Upper Siang,0,1,0,0,0,0,1
Upper Subansiri,0,2,4,0,0,9,15
West Kameng,0,1,6,0,0,10,17
West Siang,0,0,3,0,0,9,12
