District wise Branch Network Report of Meghalaya as on date 30-06-2021,,,,,,,,,,,,
Sl No.,District Name,Branch Rural,Branch Semi-Urban,Branch Urban,Total Branch,ATM Rural,ATM Semi-Urban,ATM Urban,Total ATM,BC Fixed,BC Other,BC Total
1,EASTGAROHILLS,5,7,1,13,2,7,0,9,28,4,32
2,EASTJAINTIAHILLS,21,4,0,25,14,1,0,15,28,7,42
3,EASTKHASIHILLS,51,28,109,188,34,21,212,267,109,8,112
4,NORTHGAROHILLS,7,3,0,10,5,2,0,7,13,5,18
5,RIBHOI,34,15,1,50,25,12,1,38,39,14,55
6,SOUTHGAROHILLS,4,4,1,9,1,2,0,3,14,5,19
7,SOUTHWESTGAROHILLS,10,3,0,13,6,0,0,6,42,4,46
8,SOUTHWESTKHASIHILLS,6,1,0,7,6,0,0,6,1,11,12
9,WESTGAROHILLS,18,18,5,41,14,11,17,42,167,35,204
10,WESTJAINTIAHILLS,19,19,3,41,7,15,2,24,54,23,70
11,WESTKHASIHILLS,15,12,2,29,0,10,1,11,69,29,99
Grand,Total,190,114,122,426,114,81,233,428,564,145,709
