District,PMEGP NPA Amt,PMEGP NPA No.,PMEGP O/S Amt,PMEGP O/S No.,PMEGP Disbursed Amt (CY),PMEGP Disbursed No. (CY),PMEGP Sanction Amt (CY),PMEGP Sanction No. (CY)
East Garo Hills,50.9,111,346.54,193,2.33,6,17.01,4
East Jaintia Hills,14.8,14,131.62,51,17,6,25.22,7
East Khasi Hills,39.44,470,3046.33,1062,332.4,106,483.07,85
Eastern West Khasi Hills,30.67,27,120.01,80,29.45,16,50.68,16
North Garo Hills,31.95,77,398.7,202,12.79,9,21.77,7
Ri Bhoi,34.06,134,604.57,308,84.21,26,116.55,29
South Garo Hills,46,111,393.72,182,2.86,6,32.74,11
South West Garo Hills,42.34,95,488.88,208,10.61,9,42.99,14
South West Khasi Hills,19.78,23,181.82,122,28.2,18,59.59,13
West Garo Hills,28.31,196,1607.02,614,123.58,41,318.27,53
West Jaintia Hills,26.24,74,491.87,215,118.29,27,212.89,31
West Khasi Hills,43.97,116,361.67,200,40.55,11,75.06,14
