District,Lead Bank,Dateof Dcc Meeting 1st Qtr,2nd Qtr,3rd Qtr,4th Qtr,Datesof Dlrc Meeting 1st Qtr
Bishnupur,,15.09.18,17.01.19,14.03.19,,15.09.18
Chandel,,16.11.18,20.03.19,20.03.19,,16.11.18
Churachandpur,,03.10.18,03.10.18,,,03.10.18
Imphal East,U B I,15.09.18,19.02.2019,26.03.19,,15.09.18
Imphal West,,16.01.19,16.01.19,,,16.01.19
Jiribam,,28.08.18,16.01.19,02.03.19,,28.08.18
Kakching,,29.09.18,14.01.19,,,29.09.18
Kamjong,,07.09.18,15.01.19,,,07.09.18
Kangpokpi,,21.09.18,29.11.18,20.03.19,,21.09.18
Noney,,30.08.18,14.02.2019,14.02.2019,,30.08.18
Pherzawl,,19.09.18,27.12.18,,,19.09.18
Senapati,,20.09.18,28.11.18,19.03.19,,20.09.18
Tamenglong,,27.11.18,27.11.18,02.03.19,,27.11.18
Tengnoupal,,15.12.2018,15.12.2018,,,15.12.2018
Thoubal,S B I,12.10.18,19.12.18,,,12.10.18
Ukhrul,,21.09.18,,,,21.09.18
